Flood aid,"แอพพลิเคชั่นที่รวบรวมข้อมูลเกี่ยวกับสถาณการณ์น้ำท่วม ผู้ใช้สามารถสำรวจบริเวณที่เกิดน้ำท่วม และระดับน้ำในปัจจุบัน อีกทั้งยังสามารถติดตามสถาณการณ์น้ำท่วมทุกวินาทีจากข้อมูลที่นำมาจากเครือข่าย Twitter รวมไปถึงสายด่วนที่เกี่ยวข้อง เพื่อนำไปสู่การเตรียมตัวรับมือและรวมไปถึงการให้ความช่วยเหลือในด้านต่างๆ 

คุณสมบัติของโปรแกรม
1. แสดงบริเวณทีี่เกิดอุทกภัย
    -จังหวัดที่ได้รับผลกระทบจากน้ำท่วม 
    -พื้นที่ประภัยที่ต้องการความช่วยเหลืออย่างเร่งด่วน
    -ศูนย์อพยพและศูนย์พักพิงสำหรับผู้ประสบทุทกภัย
    -จุดจอดรถในช่วงน้ำท่วม ฯลฯ
2. แสดงระดับน้ำในคลองและเขื่อนต่างๆ
3. แสดงข่าวล่าสุดจากเครือข่าย Twitter
4. แสดงเบอร์โทรศัพท์ที่เกี่ยวข้อง พร้อมทั้งมามารถโทรออกได้ทันที",[],[]
Blood Donors Pakistan,"The App is to facilitates peoples to reach out to blood donors easily and quickly in emergency cases. Pakistan's First app for blood donation, an iOS based Blood bank which will help a lot of peoples in emergency cases .

USE:
it very easy to use , just download the app , on home screen , select Blood Type you are looking for , select your city , hit search button , you will get list of active blood donors in your city , now you can call them one by one to make an appointment with them to fulfill your need, we hope it will help peoples find donors easily and hassle free.


Feature:
>Get Active Blood Donors list of your city
>Call them for blood donation
>Ad Sub donors for example your friends as donors from your account.
>Submit Blood Requests
>Responds to Blood Requests
>Online chat with donors.
>Easy to use
>Register yourself as donor
>Activate /deactivate your availability,if you are deactivated ,you will be hidden from blood seekers.


- Follow us on: 
https://web.facebook.com/TechVista
https://twitter.com/techvistaltd
https://www.linkedin.com/company/tech-vista-pvt.-ltd./","[['donation', 'blood'], ['download', 'app'], ['deactivated', 'hidden'], ['city'], ['reach', 'blood'], ['help', 'lot'], ['emergency', 'peoples'], ['donors']]","[['app', 'iOS'], ['home', 'use', 'app', 'home', 'screen'], ['blood', 'availability', 'hidden', 'blood', 'seekers'], ['looking', 'donors', 'blood', 'select'], ['donors', 'peoples'], ['bank', 'peoples'], ['cases', 'lot', 'peoples', 'find', 'donors'], ['active', 'account', 'blood', '>', 'example', 'friends', 'donors']]"
Tragedy Relief Index,"This is the Tragedy Relief Index. TRI is an app built to help you help others. It is an easy to use platform that connects you with information on natural disasters from around the world. Using the TRI, you can get quick, real-time information on many natural disasters happening around the globe. Here are some more of the great features:
         Advanced API that keeps TRI’s information up to date
         Ability to connect you to the closest blood bank
         In-depth description of each natural catastrophe and its effects
         Displays many options on how to help those affected by disasters
         Cutting edge world map, which pinpoints and shows the location of 
                       all the current natural disasters.
The Tragedy Relief Index is the best option to connect you with those you want to help. TRI allows you to seamlessly find how to help those in need. Download Tragedy Relief Index today and let it be your tool to change the world.","[['tool', 'let'], ['connect'], ['affected', 'help'], ['help'], ['natural', 'catastrophe'], ['information'], ['Cutting', 'edge'], ['world', 'map']]","[['today', 'change'], ['help', 'closest', 'want', 'blood'], ['disasters', 'options'], ['built', 'others', 'app', 'built', 'help'], ['description', 'effects'], ['platform', 'natural', 'connects', 'disasters'], ['world', 'disasters'], ['edge', 'pinpoints']]"
Symptoms Of High Blood Sugar,"Symptoms Of High Blood Sugar is an app that includes some helpful information regarding symptoms of high blood sugar.

Symptoms Of High Blood Sugar Includes:

High Blood Sugar Levels

Diabetic Symptoms

What Are the Symptoms

Top 3 Symptoms

High Blood Sugar Signs

5 Warning Symptoms

Hyperglycemia

Signs & Symptoms

And much more!

So what are you waiting for!?

Download The ""Symptoms Of High Blood Sugar"" App now

And Learn Symptoms Of High Blood Sugar Today!",[],[]
Sofea+,"ACASIA Sofea: Keeping you safe on your travels, an ACASIA service

ACASIA Sofea is a personal safety and early travel warning solution that provides real-time status on warnings, alerts, and localized security information wherever you are. ACASIA Sofea lets you alert your friends and family and give them a real-time trail of your movements when you are walking home in an unfamiliar environment.

Global Warning System together with ACASIA have for several years provided International Businesses, NGO’s and Government Agencies with high-end travel security and convenience through the ACASIA Sofea app.  Now you can have it too. 

The ACASIA Sofea app for leisure travellers is based on the same groundbreaking positioning and warning information technology that made ACASIA Sofea Pro for Businesses successful, while adding features more relevant to the casual leisure traveller. The technology automatically filters warnings and information to you based on where you are in the world or where you are going. This means relevant real-time warning information before anyone else, avoiding spam information.

The app keeps you and your loved ones safe and in touch wherever you are. Share your position, get local alerts and warnings, stay connected to your friends and family, and get automated local advice when arriving at a new destination. 


ACASIA Sofea means:

• Fast information: You and/or your loved ones get alerts and warnings before anyone else and may avoid safety threats, travel delays, fires, extreme weather, natural disasters, civil unrest, terrorism etc. when travelling

• Peace of mind: Allows you to follow the whereabouts of family or friends that are travelling the world and them to follow you

• In the know, on the go: Local news in English, country general safety and travel advice, local SOS and emergency numbers; all automated based on real-time location


Key features:

• Share your position: Check-in to let family, friends and colleagues see your exact position and track you as you travel to new destinations

• Walk me home: Walking home alone at night in an unfamiliar neighborhood? Alert your friends and family and give them a real-time trail of your movements!

• Local news wherever you are: simple access to automated local news in English for whatever country you visit. In the know, on the go!  

• Direct push notifications: real-time warnings, alerts and information about safety, security and travel plans through SMS and data notifications

• Worldwide detection of local SOS emergency numbers with one click: all countries listed; police, ambulance, fire squad

• Country safety and travel information including advice at hand at every location 

• Automatic translation of messages and texts into 90 different languages

Battery disclaimer:
ACASIA Sofea relies on continued use of GPS running in the background which can dramatically decrease battery life. However due to smart throttling of the GPS the impact is reduced to a minimum.","[['battery', 'decrease'], ['give', 'family', 'real-time'], ['friends', 'family'], ['push', 'Direct'], ['trail', 'give', 'real-time'], ['trail', 'real-time', 'movements'], ['based'], ['destinations'], ['unfamiliar'], ['arriving', 'new'], ['advice', 'including'], ['news'], ['local', 'automated'], ['position'], ['ones'], ['alerts', 'warnings'], ['alerts', 'local'], ['status', 'warnings'], ['wherever'], ['travel', 'delays'], ['security', 'localized'], ['travel', 'safety'], ['security', 'travel'], ['information', 'warning'], [], [], []]","[['life', 'dramatically', '90', 'different', 'languages'], [], ['travelling', 'let', 'family', 'friends', 'colleagues'], ['go', 'notifications'], [], [], ['information', 'location', 'world', 'real-time'], ['home', 'travel', 'Walk', 'new'], ['environment', 'home', 'neighborhood', 'night', 'movements', 'walking', 'home'], ['advice', 'destination'], ['information', 'hand'], ['Local', 'movements', 'local', 'automated'], ['access', 'advice'], ['local', 'see', 'exact', 'get', 'position', 'track', 'travel'], ['touch', 'safe', 'alerts', 'get'], ['anyone', 'real-time', 'get', 'alerts', 'warnings'], ['get', 'warnings'], ['alerts', 'real-time', 'provides', 'real-time', 'status'], ['access', 'information', 'security', 'simple'], ['fires', 'threats'], ['information', 'alerts'], ['early', 'information', 'safety', 'travel', 'advice'], ['high-end', 'safety', 'information', 'safety', 'security'], ['anyone', 'technology', 'travel', 'warning', 'solution'], ['relies', 'use', 'However', 'due', 'continued', 'smart'], ['adding', 'police', 'features', 'countries', 'successful', 'listed'], ['impact', 'app', 'leisure', 'minimum', 'travellers', 'reduced']]"
RaktSeva,"Raktseva app puts the power to save lives. This app is helpful for finding donors quickly and easily. Register and make yourself discoverable for those who are in need for blood. Saving life is just Raktseva click away. Starting with a small group of people and seeing the benefits & smiles it gives, now we are scaling up to spread the same across the country. We make a humble request to give your best efforts to help us make this app more useful through your support.","[[], ['puts', 'power'], ['seeing', 'benefits'], [], []]","[['give', 'make', 'humble', 'request', 'efforts', 'best'], ['app', 'save'], ['smiles', 'people', 'small', 'group', 'people'], ['group', 'make', 'need', 'discoverable', 'small', 'Starting'], ['donors', 'life', 'Saving', 'helpful', 'blood', 'finding']]"
HELP-ME,"HELP- ME"" is the intellectual output  cofounded by European Commission in the Erasmus  programme Kay Action 2  (project code 2014-1-IT02-KA200-004149).
Following expert's studies, was born the didactic game to develop the consciousness of risk e the correct misure of autoprotection.
The aim of the game it is learn the behavior that we have to do in case of emergency in natural disaster (Earthquake or Flood). In the game, like in the life, only if you know the autoprotection misure, you can survive.
The gamer must be came to a decision how to behavior in a particular ambient (Home or school or public space, ecc) in the case of erthquake or flood. If he choose the correct one, he will be alive.
 
This project has been funded with support from the European Commission. This publication [communication] and all its contents reflect the views only of the author, and the Commission cannot be held responsible for any use which may be made of the information contained therein. Project code 2014-1-IT02-KA200-004149","[['space'], ['communication'], ['e', 'correct'], ['know', 'autoprotection'], ['emergency'], ['behavior'], ['develop', 'consciousness'], ['born', 'didactic'], [], [], []]","[['case', 'school', 'ecc', 'public'], ['[', ']', 'publication', 'contents', 'contents', 'reflect', 'views'], ['misure', 'risk'], ['life', 'misure'], ['case', 'natural', 'disaster', 'behavior'], ['game', 'decision', 'came', 'learn', 'behavior', 'particular', 'ambient'], ['game', 'risk'], ['game', 'studies'], ['therein', 'information', 'cofounded', 'contained', 'output', 'European'], ['use', 'responsible', 'held', 'gamer', 'survive', 'The'], ['case', 'support', 'funded', 'project', 'flood', 'erthquake']]"
Be Hero,"Welcome !  

From the moment you download application you can become a Hero ! 

Hero  - is a mobile application, which helps to connect people who need blood donation with donors.
Once in a 2 minutes approximately 3 people need blood donation, according to WHO (World health organization) In Georgia patients need more than 60 000 donations per year, where donations are less than 37 000.  
Hero will help to make blood donation more social and help donors to contact with recipients easily.
App features include:

*	Ability to register as a Hero - with this option anyone can become a blood donor and make a contribution in helping to save people's lives.
*	Ability to register as - Recipient - this option helps recipients to register in application and get crucial help from them.

We hope this application will change the way how people help each other.","[['helping', 'save'], ['help', 'social'], ['donation', 'blood'], ['blood'], ['change'], ['helps', 'connect'], ['register', 'recipients'], ['crucial', 'get'], ['download', 'application']]","[['contribution', 'people', 'donor', 'make', 'contribution'], ['donors', 'donation'], ['need', 'make', 'blood', 'donation', 'donors'], ['anyone', 'become', 'make', 'help', 'people', 'need', 'blood'], ['application', 'hope', 'way', 'people'], ['application', 'people'], ['application', 'helps', 'option', 'helps', 'recipients'], ['application', 'help'], ['become', 'moment']]"
"Emergency First Aid - Instant Acupressure Self-Help With Blood Pressure, Diabetes, Breathing, Muscle Cramp, Insect Bite, Anxiety and many more using Chinese Massage Points - BASIC Trainer","√ Master Emergencies on your own Without Medications using Traditional Chinese Massage Points 
√ Easily find the right Massage Points with simple Full HD Photos (Videos are in Premium Version)
√ Never forget a Massage with a built-in Reminder 

""In short, it [Acupressure] provides maximum benefits without the dangerous side effects associated with many of the approaches of conventional medicine."" 
-William Michael Cargile, B.S., D.C., F.I.A.C.A., Chairman of Research for the American Association of Acupuncture and Oriental Medicine 

The Emergency Acupressure is perfectly suitable for you with these immediate benefits: 

√ You can help yourself immediately while waiting for the emergency doctor, if needed. 
√ You do not need to spend a considerable amount of money. 
√ There is no danger of being hurt, infected or experiencing pain. 
√ You massage the points gently with your own finger. 
√ The app reminds you automatically of your massage appointments. 

These Emergencies can immediately be handled using the App: 
→ Muscle Spasms 
→ Faint 
→ Nosebleeds 
→ Diabetic Coma 
→ Insect Bite 
→ Massive Menstruation (Women) 
→ Extremely High Blood Pressure (Hypertension) 
→ Anxiety Attack 
→ Breathing Difficulty 
→ Strong Vomit 

The massage points offered are: 
√ especially effective 
√ easy to find, no need for someone else's assistance 
√ shown with professional Full HD Photos (Videos are available in the Premium Version)

""With the App, I could prepare very well for emergencies and react immediately when it was needed. The points are easy to find using the videos. I am so happy to have the App always on me, on my iPhone and iPad"" 
-Dr. Umin, Manager at Siemens in Germany 

Thousands have done it already. Download the App on your iPhone, iPad or iPod. It works also without internet connection (on the plane, abroad, on the train etc.) 

Are you interested in more massage points? Share it on my Facebook page and get people interested. The larger the following, the faster you will get the update of the app. Free. 

Have Fun with the App! 

Your Dr. Bargak 


Have some questions? Feel free to get in touch: 
- Facebook: https://www.facebook.com/pages/Dr-Jakob-Bargak/162860007105206 
- Twitter: https://twitter.com/drbargak 
- E-Mail: doktorbargak@gmail.com","[[], [], [], ['interested', 'massage'], ['app'], ['many', 'associated'], ['waiting', 'emergency'], ['using'], []]","[['shown', 'benefits', 'assistance', 'maximum', 'provides', 'professional'], ['someone', 'people', 'get', 'page', 'need', 'find'], ['spend', 'etc', 'amount', 'interested', 'Are', 'considerable'], ['points', 'Are', 'iPhone', 'iPad', 'iPod'], ['The', 'update', 'finger', 'get'], ['approaches', 'effects', 'dangerous', 'side', 'effects'], ['immediately', 'doctor'], ['immediately', 'handled', 'easy', 'find', 'especially', 'effective', 'easy'], ['suitable', 'immediate', 'needed', 'points', 'The', 'perfectly']]"
2Travel,"2Travel: Keeping you safe on your travels, a Travel safety application from 2secure. 

This service requires an enterprise subscription. 

2Travel keeps business travelers safe, wherever and whenever traveling or living abroad, and connects corporate security teams directly with business travelers in real-time. 2Travel is a personal safety and early travel warning solution that provides real-time status on warnings, alerts, security information and travel plans. It integrates two security tools: the 2Travel app and the 2Travel Instant Security Overview (ISO) system. 

Business travelers gain security, safety and travel status updates as well as access to local area SOS emergency response services, family or colleagues with one click on any mobile device. 
Central and local corporate security teams have a 24/7 instant security support platform to access information as well as locate, share information and interact with business travelers. 

2Travel means:
• Business travelers avoid safety threats, travel delays, fires, extreme weather, natural disasters, social and political conflicts, terrorism
• Gaining professional tools to plan and support safe and efficient employee travels
• Minimising losses due to unforeseen events and threats 
• Extending the degree of personal safety and care provided to employees traveling abroad
• Country specific safety advice and information always at hand in every location

Key features:
• Direct push notifications: of real-time warnings, alerts and information about safety, security and travel plans  
• Worldwide detection of local SOS emergency numbers with one click: all countries listed, police, ambulance, fire squad
• GPS location and movements: share exact position to assistance teams, company security management and colleagues 
• Maps and GIS map tools: overview of all employees and colleagues
• Auto translate functionality for all information
• Automated SMS-function: for direct and emergency communication
• Emergency button connecting directly to the companies security manager or security partner for Worldwide Emergency Assistance

Battery disclaimer:
2Travel relies on continued use of GPS running in the background which can dramatically decrease battery life. However due to smart throttling of the GPS the impact is reduced to a minimum.","[['requires', 'enterprise'], ['battery', 'decrease'], ['travels'], ['threats'], ['platform', 'support'], ['provides', 'real-time'], ['travelers', 'business'], ['information', 'interact'], ['share'], ['security', 'manager'], ['security', 'management'], ['company', 'teams'], ['security', 'corporate'], ['alerts', 'warnings'], ['information', 'alerts'], ['real-time', 'warnings'], ['security', 'gain'], ['avoid', 'safety'], ['travel', 'delays'], ['security', 'safety', 'travel'], ['information', 'security'], ['services', 'family'], ['Gaining', 'professional'], ['overview', 'employees'], [], []]","[['service', 'subscription'], ['life', 'dramatically'], ['efficient', 'employee', 'losses', 'Minimising', 'Keeping', 'safe', 'travels'], ['unforeseen', 'Extending', 'events', 'degree'], ['access', 'security', 'platform', 'access', 'information'], ['status', 'solution'], ['interact', 'keeps', 'means', 'Business', 'travelers'], ['share', 'business'], ['position', 'exact', 'location', 'movements'], ['companies', 'manager', 'security', 'partner'], ['colleagues', 'company'], ['assistance', 'security', 'position', 'assistance', 'teams'], ['connects', 'teams'], ['security', 'real-time', 'warnings', 'alerts', 'information'], ['security', 'safety'], ['status', 'notifications'], ['travelers', 'safety'], ['travelers', 'threats'], ['fires', 'threats'], ['safety', 'early', 'travel'], ['travel', 'safety'], ['colleagues', 'response', 'emergency', 'response', 'services'], ['terrorism', 'tools'], ['colleagues', 'tools', 'care', 'provided', 'employees'], ['police', 'countries', 'mobile', 'listed', 'device', 'click'], ['impact', 'due', 'However', 'minimum', 'reduced', 'smart']]"
help yourself - find yourself,"Full version of the successful 120 days program to health, inner balance and vitality. A 120-days project that will change your life completely, it leads to joie de vivre, to health and prosperity, to self-confidence and self-esteem, to inner strength and power. Embark on the way to the most important person in your life, to yourself. At the end of the road you will be rewarded with a charisma and an inner balance that you have never thought possible. 

Have you ever asked the question why your life is what it is today? What is your life, what is your perception of it, what are your feelings? I will tell you:
Your life consists of your personal PERCEPTION OF LIFE, which you create yourself. Your perception of life is the result of your thoughts and feelings and nothing else. You are what you think you are. You think about 40,000 thoughts each day; most of them unconsciously and, further more, the same thoughts over and over again. You create your entire perception of life by what you think. Also each disease is firstly created on a spiritual level before it becomes visible on the body, like a building that is firstly created in the spirit before the first brick is set for it. Find out the psychological components of your diseases. What is the false and untrue thought-pattern that triggers the disease on your physical level. If you do not correct this thought-pattern, it manifests itself in the body, usually by worsening diseases. The aim of this program is to teach you to recognize wrong and untrue thoughts and remove them from your mind vocabulary. This will change your life completely. It will bring you to yourself, to inner balance, which is the basis for a healthy mind and body. It will lead you to pleasure and joie de vivre, which is the basis for happiness. It will give you self-confidence, trust and inner strength, which is the basis for prosperity. It is a new and exciting way on which you embark. It is the path to the most important person in your life, to yourself and to a joy of life that you have not previously thought possible. You decide whether you want to start on this path.

How does the program work?             
By answering a few questions about your daily routine, an individual program is created for you. This program will accompany you during the next 120 days and will send you information that helps you to gradually achieve your aim, to become your true self. It will ensure that you remain on your new path. And this path will be exciting and interesting and you will see that you meet more and more smiling people, because you are going to develop a new charisma that will be interesting and attractive to others. You will change your life completely. You will realize that you are free in your decisions and that you are always free to re-select. You will respect yourself and you will achieve things, that you have always longed for, as easily as you are not able to imagine by now.","[['project'], ['joy', 'life'], ['person', 'important'], ['life', 'result'], ['thoughts', 'feelings'], ['life', 'question'], ['trust'], ['strength', 'basis'], ['inner'], ['health'], ['disease', 'physical'], ['becomes', 'visible'], ['aim'], ['program'], [], [], [], ['interesting', 'attractive'], ['charisma']]","[['A', 'life', '120-days', 'change'], ['person'], ['path', 'way'], ['perception', 'thoughts'], ['nothing', 'result', 'life', 'perception', 'feelings'], ['asked', 'today', 'ever', 'asked', 'question'], ['strength', 'self-confidence', 'inner', 'give'], ['prosperity', 'inner'], ['strength', 'self-confidence', 'power', 'self-esteem'], ['prosperity', 'balance', 'self-confidence', 'inner'], ['level', 'triggers'], ['body', 'level'], ['teach', 'The', 'program', 'diseases', 'usually', 'worsening', 'diseases'], ['This', 'health', 'days', 'created', 'created', 'spiritual', 'level'], ['daily', 'individual', 'way', 'routine', 'new', 'exciting'], ['decisions', 'self', 'free', 'become', 'true', 'realize'], ['people', 'joie', 'leads', 'completely', 'meet', 'smiling'], ['charisma', 'others'], ['new', 'rewarded', 'develop', 'road']]"
Resia Safety – Global Warnings,"Resia Safety: A solution for information and warning for companies who wants to provide their business travelers with an app for safety and early warnings.

The traveler gains better information and safety. For the company the app provides a possibility to localize their employees in case of incidents in the world.

For the business traveler: The traveler gets an app with access to information about the country you are in, and information about events that may affect the travel or safety. The traveler can also alert through the app. Level of privacy is decided by the traveler.

For the company/security manager: The security manager may, if the traveler allows, see if any employee is in an area affected by an incident, and in such case, easily communicate with their employees. 

Features for the traveler:
• Safety Alerts. Warnings and other useful information to your cell phone in real time automatically based on where you are

• Country Information
When you come to a new country, you automatically get regional information on safety, health and emergency numbers

• SOS button
Distress and the ability to locate you if an emergency arises

• Company specific information 
Company specific information automatically when you enter a new region

Fast information: 
You get alerts and warnings and may avoid safety threats, travel delays, fires, extreme weather such as tsunamis, flash floods, natural disasters, civil unrest, terrorism etc. when travelling

Battery disclaimer:
Resia Safety relies on continued use of GPS running in the background which can dramatically decrease battery life. However due to smart throttling of the GPS the impact is reduced to a minimum.","[['localize', 'employees'], ['app'], ['traveler'], ['health', 'emergency'], ['locate', 'emergency'], ['travel', 'delays'], ['provide', 'business'], ['companies'], ['phone'], ['information', 'country'], [], [], [], ['incident', 'affected'], ['employee', 'see'], ['battery', 'decrease'], ['floods']]","[['case', 'possibility', 'easily', 'communicate', 'employees'], ['access', 'also', 'gets', 'alert', 'travelers', 'app', 'safety'], ['The', 'gets', 'app', 'warnings', 'privacy', 'decided', 'traveler'], ['safety', 'numbers', 'information', 'safety', 'health'], ['arises', 'ability'], ['fires', 'threats', 'affect', 'travel', 'safety'], ['wants', 'travelers'], ['wants', 'information', 'warning', 'provide'], ['cell', 'information', 'real', 'time'], ['access', 'come', 'new', 'country'], ['relies', 'use', 'However', 'due', 'continued', 'smart'], ['company', 'manager', 'enter', 'new', 'security', 'automatically'], ['impact', 'case', 'minimum', 'incidents', 'world', 'reduced'], ['case', 'area'], ['allows', 'area'], ['life', 'dramatically'], ['tsunamis', 'flash', 'natural', 'disasters']]"
SG Blood,"SG Blood is an application for Singapore blood donors, be it regular or new. 

SG Blood provides the calendar for Bloodmobile events, giving donors the convenient of planning where and when they want to contribute. The details for the 2 permanent blood donation centres - HSA and NUH - are also available within the app. A simple FAQ also helps to address the questions that new donors would like to know.

Features include:
✔ Calendar for Bloodmobile events
✔ Show the location of a Bloodmobile event on Map
✔ Easily check on the blood stock level for each of the blood types
✔ Record the date of your last donation
✔ Provide info, address, map and phone numbers of the 2 blood donation centres (HSA and NUH)
✔ FAQ for new donors!

Give blood, give life (:","[['stock', 'blood', 'level'], ['map', 'phone'], ['donors']]","[['check', 'blood', 'stock'], ['numbers', 'address', 'info', 'address', 'map'], ['new', 'blood', 'questions', 'Give', 'events', 'giving', 'donors']]"
First Aid Plus,"First Aid Plus is a must-have app for every smartphone user. Whether you are at home or at travel, having the knowledge of first aid is essential. 

So, with the First Aid Plus, you can-
1. Help a patient with first aid until informal help arrives 
2. Get the app to dictate you the guides 
3. Locate nearby chemists, hospitals or clinics within 10Km of radius 

 Download it now and show off your first aid skills to your friends! 

This is just the beginning. Many more exciting features are on their way! Till then, hasta lavista!","[['chemists', 'hospitals'], ['aid'], []]","[['clinics', 'nearby'], ['informal', 'first', 'help', 'show'], ['knowledge', 'travel', 'guides', 'dictate', 'home', 'app']]"
ERV travel & care,"ERV travel & care: your mobile travel companion that helps you to stay safe.
 
ERV travel & care is your personal safety and early travel warning solution that provides real-time status on warnings, alerts and localized security information. It includes local SOS emergency numbers, hospitals, pharmacies and embassies, based on your current position. In addition, it offers you the possibility to store pictures of your most important travel documents.

ERV travel & care uses groundbreaking positioning and warning information technology to provide real time travel and risk information at your location. This has been developed since years to fit the needs of such as business travellers, NGO´s and government agencies for high-end travel security information. The technology automatically filters warnings and information, such as dangerous environmental disasters, civil unrest, disease outbreaks and terrorist attacks, for you based on where you are in the world. This means relevant real-time warning information before anyone else, avoiding spam information.

The app keeps you safe and and helps you to avoid threats wherever you are. Plan your travels according to current information, get local alerts and warnings, and get automated local advice when arriving at a new destination. 


ERV travel & care means:
* Fast information: You get alerts and warnings before anyone else and may avoid safety threats, travel delays, fires, extreme weather such as tsunamis, flash floods, natural disasters, civil unrest, terrorism etc. when travelling.

* In the know, on the go: Receive country general safety and trip advice, local SOS and emergency numbers; all automated based on real-time location.
Key features.

* Real-time early warnings, alerts and information about safety, security and travel plans through direct push notifications or SMS.

* Country safety and travel information including advice at hand at every location.

* Position based information about hospitals, pharmacies and embassies, including contact details and directions.

* In case of emergency local SOS numbers with one click, e.g. police, ambulance, fire department and ERV assistance.
* Keep important travel documents at your hand in the document safe.

* Automatic translation of messages and texts into 90 different languages.


Battery disclaimer:
ERV travel &care relies on continued use of GPS running in the background which can dramatically decrease battery life. However due to smart throttling of the GPS the impact is reduced to a minimum.","[['floods'], ['fire', 'ambulance'], ['push', 'direct'], ['contact', 'details'], ['provide', 'real'], ['possibility', 'store'], ['avoid'], ['attacks'], ['pharmacies', 'hospitals'], ['current', 'based'], ['provides', 'real-time'], ['alerts', 'local'], ['alerts', 'warnings'], ['status', 'warnings'], ['arriving', 'new'], ['advice', 'including'], ['travel', 'delays'], ['travel', 'documents'], ['information', 'warning'], ['information', 'risk'], ['travel', 'care'], ['travel', 'safety'], ['security', 'localized'], ['security', 'safety'], [], [], ['battery', 'decrease']]","[['tsunamis', 'flash', 'natural', 'disasters'], ['department', 'police', 'e', 'g', 'police'], ['notifications', 'plans'], ['directions', 'including', 'embassies', 'including', 'contact'], ['technology', 'time'], ['pictures', 'offers', 'addition', 'offers', 'possibility'], ['threats', 'safe', 'safety', 'helps', 'app', 'keeps', 'safe'], ['outbreaks', 'terrorist', 'based', 'world', 'unrest', 'disease', 'outbreaks'], ['information', 'numbers', 'hospitals', 'pharmacies', 'embassies'], ['embassies', 'position', 'according', 'current', 'information'], ['status', 'solution'], ['get', 'warnings', 'information', 'get', 'local'], ['early', 'get', 'warnings', 'alerts', 'information'], ['alerts', 'real-time'], ['advice', 'destination'], ['information', 'hand', 'safety', 'trip', 'advice'], ['fires', 'threats', 'fires', 'extreme', 'weather'], ['important', 'hand', 'documents', 'hand', 'document'], ['anyone', 'technology', 'travel', 'warning', 'solution'], ['travel', 'location', 'time', 'travel', 'risk'], ['relies', 'mobile', 'care', 'personal', 'safety'], ['early', 'information', 'alerts', 'information', 'safety'], ['information', 'alerts'], ['information', 'travel', 'high-end', 'travel', 'security'], ['needs', 'business', 'different', 'languages', 'travellers', '90'], ['impact', 'However', 'due', 'minimum', 'reduced', 'smart'], ['life', 'dramatically', 'years', 'fit', 'needs']]"
How-to!?For Harry Potter,"Move into the world of Harry Potter

Now available 500 guides ,that help you make  incredible things from this magic world

-NOTE

This app is an UNOFFICIAL and not affiliated with or endorsed by developer,publisher,or distributor. All content,imagery,and videos on the application are copyrighted by their respective owners.If you have a concern or feel there is a direct copyright or trademark violation that does not fall within fair use guidelines,please email me at melnichenkoandrew@gmail.com,to discuss this","[['things'], ['developer'], ['please', 'email'], ['feel', 'direct'], ['violation', 'trademark'], ['respective', 'copyrighted'], ['imagery']]","[['world', 'make', 'magic', 'incredible'], ['distributor', 'publisher', 'endorsed', 'affiliated'], ['guidelines', 'melnichenkoandrew', 'fair', 'use', 'guidelines'], ['copyright', 'concern'], ['copyright', 'fall'], ['application', 'owners'], ['content', 'application', 'All', 'videos']]"
Help Now - send your emergency call easily and receive rescue or first aid,"Help Now is the app that will save you in emergency or dangerous moments, or thanks to which you’ll save someone who needs help in your nearby.
Click on the big red “Help” button to send your request or enable the Help Now Angel feature to receive emergency requests.

With Help Now you can:
• Safely store your profile information including blood type
• Select from your address book 10 contacts to send your help request to via SMS
• activate the geolocation system
• send the distress call to your 10 contacts and to the Help Now Angels nearby with predefined text and your geographic location

Help Now is a very useful app, use it only when absolutely necessary.
Do you have any problem or suggestion? We'd love to hear it! 
You can easily reach us at:
helpnow@makeitapp.eu","[['distress', 'send'], ['help', 'send'], ['save'], ['including', 'blood'], ['moments', 'dangerous'], ['receive', 'emergency']]","[['call', 'system'], ['request', 'contacts'], ['needs', 'Now', 'app', 'someone'], ['information', 'type', 'store', 'profile', 'information'], ['thanks', 'emergency'], ['requests', 'feature']]"
Save Doodle Life,"Check it out our latest game release!  
Be able to explore your running strength! 
 SOMETHING SIMPLE but you will enjoy every small detail within.  
===========================
Express your creativity and madness thoughts to find every possible way to make through each level.  
Addicted to our game? Please support us on ranking.
===========================
Game Features:
＊ delicate levels!
＊ Follow our storyline in each level.
＊ Full HD support on IPhone, I Pad & IPod. 
＊ Easy and simple to play!","[[], []]","[['madness', 'creativity', 'detail', 'every', 'small', 'thoughts', 'way', 'make', 'level'], ['strength', 'explore', 'possible', 'running', 'every', 'way']]"
