And another shooting... https://t.co/aYfTWoR7QJ,carolynklimp1
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,sassy321tx
RT @KSNNews: 2 workers shot  wounded at Kansas elementary school https://t.co/KQ1XlQ24J6,winni4u
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,sidburris
RT @WAFB: #BREAKING: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody &gt;&gt; https://t.co/zBbzEdMbjO https…,ElizabthLuther
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,Glambert40291
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,aliceslogic
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Gnemfran
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,WalkerMardy
RT @7News: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/XzTE3Ljijf,bingwisdom
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/DohSIdoCbC #police #pd,FireInfo1
RT @WTHRcom: The suspect stole a vehicle after shooting two employees at an elementary school in Overland Park  Kansas. The suspect is stil…,WalkerMardy
@SenMajLdr https://t.co/C3c5hLP0B8,sloanepete310
ABC News: Contractor allegedly shoots co-workers at playground; 1 killed  1 critically hurt. https://t.co/ICBOQ2YZr5  via @GoogleNews,RolndKarl
👼RIP - 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody https://t.co/s2itJ2VugI,Theodora35
@CNN Hey  @gop “Leadership” have you heard about shooting in Kansas at the ELEMENTARY school? Shame @SenateMajLdr s… https://t.co/QtEiJagsqT,Smith58Robyn
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,JoshuaHol
Investigators said the suspect shot two co-workers earlier in the day as they installed artificial turf on a playgr… https://t.co/28DpAM5NJa,23WIFR
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,foreveringrid
@Alyssa_Milano Hey  @gop “Leadership” have you heard about shooting in Kansas at the ELEMENTARY school? Shame… https://t.co/UV6nqoYGMc,Smith58Robyn
@realdonaldtRUMP  @SpeakerRyan @pryan @ @SenateMajLdr   Fuck your thoughts and prayers. https://t.co/68j9BvrxkH,richard_adlof
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,stormestone
RT @OANN: #DEVELOPING : 2 Workers Shot at Kansas Elementary School  Search for Suspect Underway - https://t.co/mRPgqplxz1 #OANN https://t.c…,LeeCapobianco1
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,TRGG0101
"RT @NativeSphere: Notice how the sensationalizing ""journalist"" had to put SCHOOL in the title  even though it was at a construction site...…",DDenutz
RT @7News: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/XzTE3Ljijf,ChuckieHab
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,bbdevices
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,ComradCovfefe45
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,JC12Tx
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,Katdroid_
RT @OANN: #DEVELOPING : 2 Workers Shot at Kansas Elementary School  Search for Suspect Underway - https://t.co/mRPgqplxz1 #OANN https://t.c…,Railgirl4
Gun laws simply have to change. Founding fathers were envisioning local militias to offset the power of a standing… https://t.co/X1F8M179M1,JanzaBlake
#Overlandparkshooting: Suspect arrested after two workers shot at #Kansas school https://t.co/vFndePXNFG #Getwoke… https://t.co/AAefcPV0J4,MakeItPlain
#Overlandparkshooting: Suspect arrested after two workers shot at #Kansas school https://t.co/Q4oA1J6l6t #Getwoke… https://t.co/WPxYjS4YEH,Reloaded_Kore
#Overlandparkshooting: Suspect arrested after two workers shot at #Kansas school https://t.co/vFndePXNFG #Getwoke… https://t.co/AAefcPV0J4,MakeItPlain
The @NRA  @NRATV  and spokeswoman @DLoesch sponsor #terrorism and #MassMurder. #NeverAgain Worker dies  another cri… https://t.co/qqPKbJ63U5,BranGoch
RT @WAFB: #BREAKING: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody &gt;&gt; https://t.co/zBbzEdMbjO https…,worm_sosick23
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,KDL0888
RT @WAFB: #BREAKING: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody &gt;&gt; https://t.co/zBbzEdMbjO https…,FarFrmAverage_
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,BlueWaveSurfer2
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,Bennyvessey
RT @ABCWorldNews: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokes…,Tessa7808
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,LouiseDavies26
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,AspConservative
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,50smag
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,tostitwo
2 contractors critically hurt in shooting at Kansas elementary school - KAKE https://t.co/BeaBO8Iuwj #wichita,WichitaHub
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,rowen_theodore
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,__papa_
@Smith58Robyn @Alyssa_Milano @GOP @SenateMajLdr @McConnellPress @SpeakerRyan @JohnCornyn @SenJohnThune @RoyBlunt… https://t.co/L5bpANgyxY,Fight4yourLives
RT @WAFB: #BREAKING: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody &gt;&gt; https://t.co/zBbzEdMbjO https…,ayeforaria
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,DrKavarga
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,DrKavarga
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,DrKavarga
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,MESSinAZ5
RT @Riley0k: Double shooting at Kansas elementary school https://t.co/IbnDtk1eoQ,Ruperthucks
@Smith58Robyn @Alyssa_Milano @GOP @SenateMajLdr @McConnellPress @SpeakerRyan @JohnCornyn @SenJohnThune @RoyBlunt… https://t.co/XWVjnYkrUO,Fight4yourLives
RT @wonderfullone: Two workers critically wounded in shooting at Kansas school https://t.co/rledX0a8sQ via @nbcnews,VickiEvansChas1
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,terrirobin
Man arrested in shooting of 2 workers at Kansas elementary school (abc7chicago)  https://t.co/QibanVuO8i https://t.co/JjZ1qre9Pt,memeorandum
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,DanDoepke
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,dairyblondeLN66
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,VedehiMajumdar
Another criminal that gives 0 for life and law.  “Police in suburban Kansas City say a suspect has been taken into… https://t.co/YimqcUxxea,Fight4yourLives
RT @Fox40News: UPDATE: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody https://t.co/L9RIUNhkwj https:…,dstlady26
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,CarrieR128
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,dairyblondeLN66
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,GV_Pedia
RT @WDTN: Authorities arrested a suspect Tuesday in a shooting that critically wounded two contract workers outside an elementary school in…,NE1Karp
Can ya like not be stupid? Got innocent cheebs nearby and ya just decide to be dumb so shooting the victims over a… https://t.co/lUnkPERcTs,sadap96
RT @WAFB: #BREAKING: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody &gt;&gt; https://t.co/zBbzEdMbjO https…,quanna_ja
Worker dies  another critically wounded after shooting outside elementary school https://t.co/YauGLYiMuS,DudekLinda
2 workers shot  at Kansas elementary school  (via @NewsfusionApps #World #News) https://t.co/NN1cenD9xh,pedrorichter
2 workers shot 1 killed  at Kansas elementary school  suspect arrested https://t.co/SZZblpgbb8,Mctowers
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,DaRealNanna
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,SouzaEluam
RT @CBSNews: WATCH: Police talk to reporters after two workers critically wounded outside elementary school in Overland Park  Kansas https:…,DaRealNanna
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,ZuriaDLVegga76
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,acmZumba
Like the kids who land in Year-Round school districts weren't miserable enough over summer break😔 https://t.co/ANdcVrpoRR,LVMAJICLeigh
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,_NewsExcel_
RT @XHNews: Two people  who were not students  were shot Tuesday morning at an elementary school in the U.S. central state of Kansas  accor…,AntoniettaCarm3
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Edward_Womack
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,MjaneMarshall
2 Workers Critically Injured After Shooting Outside Kansas Elementary School! - https://t.co/l80daBvHCY via @Worldstar,DJBig6
Update: One dead after shooting outside Kansas elementary school; suspect in custody https://t.co/9mDXF8ZmWq via @upi,GYMObrad
One dead after shooting at #Kansas school; suspect in custody https://t.co/Q7ZGaHif6e via @upi,livegreenordie
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,ShaverShaver215
RT @XHNews: Two people  who were not students  were shot Tuesday morning at an elementary school in the U.S. central state of Kansas  accor…,PabloCa13585888
Sad news.   Elementary school shooting in Overland Park  Kansas  wounds 2 adults https://t.co/NFMDBfONrT,ianlanesgroup
RT @ABCWorldNews: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say.…,GracielaHaschke
July 3rd 2018  12:16 pm  2 injured in shooting outside elementary school in Kansas; Suspect in custody  Two men wer… https://t.co/4Vadl4JhGD,Abusethedarknes
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,TJMitchellWS
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,IsmaelIsmael016
RT @usacsmret: Breaking: Two critically injured in shooting at Kansas elementary school https://t.co/PVzVbZFbvp,Cheri_Kentucky
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,Rachel_McRea
RT @expatina: Today in Armed America. #HeyHeyNRA https://t.co/q7Tyo5aA63,kateacosta5
Kansas Police Arrest Gunman Who Shot 2 Workers at Elementary School: The Overland Park (KS) Police Department has r… https://t.co/wZEe2tJ4HD,PoliceMag
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/2mKTO7TMzK,Indiaclicking
#KC @AddictedtoKCMO https://t.co/DgUaNVBQ1o,WritingDead
Hey @InsCouncilTx - wondering how arming school staff in wake of #SantaFe shooting could impact school district ins… https://t.co/rhQBSQz1tp,moderatemama
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,JohnBriggs74
FYI: current guardian plan for arming school staff requires only an LTC to carry.  Law enforcement has raised huge… https://t.co/KcLzjoPic0,moderatemama
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,jen01phx
this hits way too close to home for me.. GUN REFORM IS A NECESSITY. WHY ARE WE THE ONLY COUNTRY THIS ROUTINELY HAPP… https://t.co/dRZ670tUt2,KeyBraun
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,Lace_team_mom
Contractor is arrested after shooting two of his colleagues while they installed playground equipment at a Kansas e… https://t.co/Y7ozIbbav5,DailyMail
Two critically injured in shooting at Kansas elementary school Conservative News Today - https://t.co/QBuytQbzs3,donaldbroom
RT @ABCWorldNews: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. http…,th3mu5ical0ne
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,lula_reh
RT @ewiley33: Two injured after shooting at an elementary school in Overland Park  Kansas. https://t.co/7yxAnBvL4R,KatherineHobbs1
RT @WashTimes: Two workers shot on Kansas elementary school playground https://t.co/grnWnTjTzH,omowunmi_la
Suspect arrested in shooting of 2 construction workers at Kansas school https://t.co/P5SsfIVSM6,geigernet
RT @DrColinfan: The shooter couldn't get to the White House  so he did another school. https://t.co/YkXPKiFnfI,JonJusth
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,stephaniefrommn
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,mcfarine
RT @DrColinfan: The shooter couldn't get to the White House  so he did another school. https://t.co/YkXPKiFnfI,Jayd360
#ksleg https://t.co/ScvIjg79Gx,APjdhanna
RT @OANN: #BREAKING: 2 workers have been shot outside of Sunrise Elementary School in Kansas  no reports of students injured  search for su…,lindabuffalo67
RT @DailyMail: Contractor is arrested after shooting two of his colleagues while they installed playground equipment at a Kansas elementary…,kabalissima
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,mafuji3
RT @XHNorthAmerica: Two people  who were not students  were shot Tuesday morning at an elementary school in the U.S. central state of Kansa…,MaryannDesiante
RT @OANN: #BREAKING: 2 workers have been shot outside of Sunrise Elementary School in Kansas  no reports of students injured  search for su…,PrepperWebsite
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,dremmelqueen
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,yellowlablover
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,mimisdimple
Overland Park  Kansas shooting: Two workers critically wounded outside elementary school  https://t.co/Q5NRz37GJP,kphillips36
RT @wbkotv: Police have provided no details about the injured workers or the circumstances of the shooting  but no students were hurt. http…,sstarshy
LasVegasSun: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/eoOHvzuEP2 #lasvegas,VegasFeed
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/aY2mUruCgj,wireless4k
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,AlbertoAguayo19
Police in suburban Kansas City are searching for a suspect in a Tuesday morning crime spree  https://t.co/j3SagYlUf8,LBrakoniecki27
#Shooting outside #Kansas #school leaves 1 #dead  1 wounded - Jul 3 @ 6:26 PM ET  https://t.co/PMJwwl1u2j,PulpNews
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,StingraeM
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,sarahemilybaum
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,Nvehecnycrrcom1
RT @NYDailyNews: DEVELOPING: Two people shot at an elementary school in Kansas — and the gunman remains at large https://t.co/dE1LHZX7L5 ht…,ExcelAfrica
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,tsuchiyajo
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/RwTOHZI8J4 #kwch12 https://t.co/HsxlJyZKHP,KWCH12
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,Real_Infinity95
RT @CopperPipeDream: #Kansas #KansasCity #OverlandPark #Missouri be on the lookout for an white male in a Black 2011 Denali with KS Tag 208…,StrongBeauty36
RT @KWCH12: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/RwTOHZI8J4 #kwch12 https://t.co/HsxlJyZKHP,cynthiamann2
RT @WTHRcom: The suspect stole a vehicle after shooting two employees at an elementary school in Overland Park  Kansas. The suspect is stil…,317slim
RT @9NEWS: Two contractors critically wounded in Kansas school shooting https://t.co/JByTPoLUeX https://t.co/Wlagl66D9N,dianasophie15
RT @bluelivesmtr: BREAKING: Two Shot at Kansas Elementary School #BlueLivesMatter #BackTheBlue Full Story https://t.co/Ztn6OFmrLe https://t…,WantBigHammer
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,ReadySetRock75
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,Iamwomen18
Two contractors critically wounded in Kansas school shooting https://t.co/shzfrAiyG8 https://t.co/bdrSeogDPV,KCENNews
Even when school is not in session. This madness needs to stop. The @GOP needs to stop saying there is nothing to b… https://t.co/v6FScfpQ7N,electmikemann
RT @DailyMail: Contractor is arrested after shooting two of his colleagues while they installed playground equipment at a Kansas elementary…,MarcoWestdorp
RT @devyn_sword: When will enough be enough? https://t.co/WzAG6I3gCR,MFOLNY
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,charlescollier
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Andrenoah18
RT @7News: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/XzTE3Ljijf,Melaniatwit
RT @KeyBraun: this hits way too close to home for me.. GUN REFORM IS A NECESSITY. WHY ARE WE THE ONLY COUNTRY THIS ROUTINELY HAPPENS IN?!?…,LaKay_J
Man arrested in shooting of 2 workers at Kansas elementary school https://t.co/aDBQHXZYMO,barnessr
RT @thehill: Two workers shot at Kansas elementary school https://t.co/PqV4VnnhRl https://t.co/9vmiCzbCmC,Michael56318306
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,appfanjme15
Putin smiles and smiles. #TrumpsAnIdiot #StupidAmericans #USANationalEmbarrassment https://t.co/djzWBylucJ,Cici0804
Mitch McConnell - you still cannot do anything to make schools safer? https://t.co/KMJndd12zh,DianaRVA1
Not again! What do we have to do to get through to people??? https://t.co/Q5hYNTPwnL,AlisonSmart3
RT @addie_1122: Overland Park  Kansas shooting: Two workers critically wounded outside elementary school https://t.co/Ok5RQnnueb,lfkraus
RT @addie_1122: Overland Park  Kansas shooting: Two workers critically wounded outside elementary school https://t.co/Ok5RQnnueb,RhoniDu
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,AngelfireWW
RT @CBSNews: WATCH: Police talk to reporters after two workers critically wounded outside elementary school in Overland Park  Kansas https:…,AngelfireWW
Two Critically Injured in Elementary School Shooting in #Kansas - Police: https://t.co/UdsBXqFJSK @SputnikIntさんから,SilverFoxINJAPA
(Sacbee) The #Latest: 1 of 2 men shot outside #Kansas school dies : The Latest on a shooting outside a.. https://t.co/DlN7yxdzcG,storiesflowcom
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,AngelusMendez
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,pjmugs
Authorities arrested a suspect Tuesday in a shooting that killed one contract worker and critically injured another… https://t.co/wUUi0jdB7w,1011_News
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Kathy_Hallacy
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,AlbertRGreen1
Victim of shooting outside Kansas school has died; suspect tried to escape custody https://t.co/sS5MlxxLiW,Mikanojo
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,713Stanvaste
RT @CBSNews: WATCH: Police talk to reporters after two workers critically wounded outside elementary school in Overland Park  Kansas https:…,713Stanvaste
RT @WAFB: #BREAKING: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody &gt;&gt; https://t.co/zBbzEdMbjO https…,Nu25Geauxx
"""Two contractors were shot by a co-worker while installing playground equipment at a Kansas elementary school Tuesd… https://t.co/CnUNJ77sOI",VPCinfo
RT @PoliceMag: Kansas Police Arrest Gunman Who Shot 2 Workers at Elementary School: The Overland Park (KS) Police Department has reportedly…,lozadar00
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,tolag
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,jets21027
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,kiersttaylor
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,AmericanWoman8
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,timthecripple
1 dead  1 injured in shooting outside elementary school in Kansas https://t.co/iZVvT1OFGp,zephbe
LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementa… https://t.co/uXSsWZWNkr,ABC
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,ones_news
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,edloo
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,7eventeen_
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,patti1743
@emholdcroft @Alyssa_Milano @AdamBaldwin Just now.... https://t.co/rXq3xLofOH  Another shooting. No one is taking a… https://t.co/V83beDYZlw,gigiscrazy
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,azhiaiam_
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,PresidentDerin
UPDATE #Kansas #Shooting https://t.co/Flcp46sViK,NYJusticeSeeker
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,p9cker_girl
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,azhiaiam_
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,Xonslaught
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,LongJules
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,ohemgee_skippy
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,Marissaaaaaa15
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,scott_squires
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,scott_squires
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,ChrisBrey1
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,scott_squires
Blessed Jesus https://t.co/vTGJha3PVx,chaddavidpape
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,trobert400
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,gillianbdoll
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,northwind1ndn
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,THEREALALLENOU
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,HRHStillStacie
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,earthquakenalux
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,HRHStillStacie
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,THE_Nasty_Woman
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,TakirraWD
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,earthquakenalux
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,champsuperstar
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,DeboraFerrell9
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,gina68987392
Enough Is Enough! @nra @realdonaldtRump @housegop @senategop https://t.co/9S87a9yYaV,Dyke67ny
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,KarenSt71940789
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,JosiahsPictures
Such incidents are buried under police https://t.co/0KHuoecTJy I'm at midnight- will retweet if sirens blaze by on… https://t.co/CMpHTjhvKB,JamesYo48343744
カンザス州の小学校で銃撃事件。 生徒に被害は無かったが、職員２名が撃たれ１名が亡くなられもう１名も重体だそうだ。 https://t.co/Hpz4Kkdyxm,silence_ast
RT @ABC: LATEST: 1 dead  1 injured after co-worker shoots two contractors installing playground equipment at Kansas elementary school  auth…,DeeDee_News
RT @Independent: Two shot in Kansas school shooting https://t.co/iZsSx4LHgG,oforiwaa_j
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,turntxblue18
Oh 😯 https://t.co/CsKW7cewyk,mitsy_blue
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,turntxblue18
