Beach Please,"Beach Please,

are you still frantically waving for attention while you're supposed to be relaxing on the beach?  Well maybe it's time to chill a little.

Beach Please is here to let you order food and drink directly from your phone, or maybe just to get the attention of your waiter without the overhead exercise.

Currently only available at West 14th, Oceana beach Dubai.","[['attention', 'get']]","[['waiter', 'maybe', 'frantically', 'waving', 'attention']]"
Bill Please - A simple way to calculate your tip and split your bill amongst friends for free!,"Ever find yourself at a restaurant with a group of friends and the time has come to pay the bill, looking for the pencil and calculator.  Well, Bill Please is the app for you!  Split the bill amongst friends, calculate the tip and get the total all in one simple screen.  

Bill Please is so simple you'll find yourself using it with every meal.","[['tip'], ['group', 'restaurant'], ['time'], ['looking', 'pencil']]","[['total', 'friends', 'calculate', 'get', 'using', 'every', 'meal'], ['friends', 'find'], ['come', 'pay', 'friends', 'group'], ['calculator', 'bill', 'bill', 'amongst', 'friends']]"
ProTracker Plus Calorie Diary,"""This app works great! I've lost 12 pounds in 10 days!"" - ◆◆◆◆◆

So you've got a few pounds to lose and you've tried everything but still have no significant results? Well look no further because it is a proven fact that people who write down what they eat can nearly triple their weight loss.

Carrying a pen and paper with you all day is not the most practical way to keep a food diary, but with ProTracker you'll always be just one touch away from your food diary. It has all the benefits of a paper tracker and much more. Simply put, this app will help you lose weight and keep it off. There are no strings attached and plenty of amazing features included for FREE!


CHECK OUT WHAT SOME OF OUR USERS ARE SAYING:
——————————————————————————
◆◆◆◆◆ - ""So great for an on-the-go eating lifestyle""

◆◆◆◆◆ - ""It does everything you need to track and show progress!""

◆◆◆◆◆ - ""I really love this app!""

◆◆◆◆◆ - ""I typically never write reviews however this app rocks and I felt compelled to tell everyone about it!!""

◆◆◆◆◆ - ""I've lost 13 pounds in the first month of using this. Love it!""
——————————————————————————


PRICING AND PLANS:

BASIC PLAN - FREE
• Diary for Calorie Tracking - Track your food, exercise and more on a daily basis
• Weight Tracker
• Activity and Exercise Tracker
• Step Tracker - Sync with the Steps counter in Apple’s Health app.
• Custom Macronutrient Goals - Set custom goals for fat, carb and protein intake.
• Barcode Scanner - Over 300,000+ UPC's available with ability to submit new barcodes.
• Online Food Database - Over 110,000 restaurants and standard USDA foods.
• Daily and Weekly Summary - View charts that give you a breakdown of your food intake and track your macronutrient goals.
• Meal Breakdown
• Diary Notes

PREMIUM PLAN - $4.99 per month or $24.99 per year*
• Includes all BASIC PLAN features
• Ad-Free
• Activity Sync for Apple Watch, Fitbit and other devices
• Custom Nutrient Tracker - 17 Key Nutrients (fiber, sugar, sodium, net carbs, cholesterol, saturated fat, and more)
• Meal & Recipe Builder
• Reminders - Remind yourself to eat a snack, drink water, weigh-in and track your food.
• Water and Vitamin Tracker - Track your water intake and ensure key nutritional requirements are met.
• PDF Summary - Print and share a weekly or daily summary for a nutritionist, fitness trainer or friend. (coming soon…)

*All prices in USD.

Subscriptions purchased through the app will be charged to your iTunes account. Your subscription can be cancelled or managed under your iTunes account settings. Your payment will continue to auto-renew unless you cancel your subscription at least 24 hours prior to your next renewal date.


ProTracker integrates with Apple's Health app by:
• Accessing activity information including daily step counts and active energy.
• Adding your water intake into the Health app.
• Adding weight entries to the Health app.
• Pulling weight entries from the Health app.
• Using Health data to pre-populate relevant fields during account setup.


Other important features of ProTracker:
• Suggested Entries - Recommends foods and exercises to favorite based on your history for quicker tracking.
• Automatic Daily Target - Your daily target is automatically adjusted for you as your weight changes.
• Custom Calorie Goals - Manually set your calorie goal to fit your lifestyle.
• Copying and Moving - Create new foods, exercises and meals by copying or moving from your existing entries.
• Units - Support for US, Metric and Stone units.
• Design - Extremely user-friendly and intuitive to use.
• Available on iPad, iPhone and iPod!


Like us on Facebook: facebook.com/ProTrackerApp
Follow us on Twitter: @ProTrackerApp


If you like this app, please leave us a review. If you feel a feature is missing or can be improved please send an email to support@protrackerapp.com, and give us the opportunity to work on an update before writing a review.

Terms & Conditions: www.protrackerapp.com/terms-and-conditions.html","[['step', 'daily'], ['exercises', 'foods'], ['based', 'history'], ['Pulling', 'weight'], ['app'], ['adjusted', 'weight'], ['food'], ['water'], ['track', 'macronutrient'], ['net', 'carbs'], ['carb', 'fat'], [], [], [], [], [], ['review', 'writing'], ['proven', 'fact'], ['new', 'submit'], ['protrackerapp', 'com'], ['iPad'], ['improved', 'missing'], ['email', 'send']]","[['counts', 'including', 'information', 'including', 'daily'], ['favorite', 'meals'], ['quicker', 'favorite', 'quicker', 'tracking', 'Automatic'], ['app', 'entries'], ['great', 'works', 'love', 'really', 'however', 'app', 'rocks'], ['changes', 'automatically', 'nearly', 'triple', 'weight'], ['track', 'intake', 'way', 'keep', 'breakdown', 'food', 'intake'], ['weigh-in', 'track', 'snack', 'drink'], ['intake', 'goals', 'track', 'show', 'progress'], ['sodium', 'cholesterol'], ['protein', 'goals', 'cholesterol', 'saturated', 'fat'], ['relevant', 'way', 'fields', 'practical', 'pre-populate', 'day'], ['trainer', 'reviews', 'never', 'write', 'fitness', 'nutritionist'], ['pounds', 'setup', 'month', 'important', 'Other', 'first'], ['benefits', ""'ve"", 'paper', 'So', 'tracker', 'got'], ['set', 'goal', 'continue', 'calorie', 'auto-renew', 'payment'], ['Terms', 'update'], ['look', 'people'], ['ability', 'barcodes'], ['terms-and-conditions', 'www', 'com', 'terms-and-conditions', 'html'], ['Available', 'iPod', 'use', 'iPhone'], ['please', 'feature'], ['support', 'please']]"
You Doodle Plus - easy and fun,"You Doodle Plus is a fully unlocked and fully ad supported version of You Doodle.

You Doodle is a full featured art studio and here are some of the features:
- *iOS10* use You Doodle in iMessage to add stickers, GIFs, APNGs, draw on photos, use the camera and much more! Save GIFs from Safari to the You Doodle iMessage app.
- Many draw tools: brush, air-brush, shape and 3D brush, calligraphy pen, eraser, color picker, flood fill (super fast with real-time preview), spray, chalk, recolor (with tolerance), blur, smudge, clone stamp, scissors
- Apple pencil support on iPad Pro
- Backup and restore settings, documents, stickers, colors, etc. between devices!
- Record your drawing for playback as a video
- Create slideshows and import photos, videos and GIFs. Export to Video or GIF. Add music that is downloaded to your device. Add custom watermark with pro version.
- Share to PDF, Instagram, Flickr, Facebook, Sketch Book, Twitter, Tumblr, Dropbox, Weibo, Email, Text Message, Camera Roll, Printer or Copy to Clipboard. 
- Split view on supported devices
- Force touch on supported devices
- Import fonts from Safari or other supported apps (zip, ttf, otf)
- Quickly draw and add text with the new photo editor extension
- Save to your sketchbook from other supported apps
- Supports up to 16 megapixel camera images (4096x4096), depending on device 
- Gradient tool
- Turn your art into a T-shirt!
- Many blend modes for brush and fill tool
- Add text to your photos with tons of colors, fonts, outlines, glow, 3D, circular, shine, scaling and rotation
- 3D rotation (X, Y, Z) for text and images with perspective (perspective on iOS 7+ only)
- Pixel perfect rotation and placement of text and photos
- Draw in real-time with nearby You Doodle users (iOS 7+ only), everyone must have the same You Doodle version
- Insert multiple images at a time to create a collage
- Draw on top of the first page of your PDF and Office documents from Dropbox
- Use the blender tool to blend the foreground and background in interesting and fun ways
- Tons of cool stamps with offline support once downloaded
- Post your entire photo on Instagram (with square cropping) and other social networks
- Hundreds of picture frames and collages 
- Over 30 amazing filters and effects
- Add shapes like arrows to highlight interesting bits in your photos
- Your own personal sketchbook to save your drawings to your device 
- Flip, rotate, crop and filter your photos
- Glow effect for draw tools
- Legend creator for maps and other diagrams 
- Simple table / spreadsheet creator
- Mask the background to the foreground and filter the background for some really cool effects
- Add custom fonts from your Dropbox folder (/Apps/YouDoodle/fonts)
- Adonit Touch and Pogo connect stylus integration 

Follow on Instagram: @you_doodle - http://instagram.com/you_doodle) 
Follow on Twitter @YouDoodleApp 
Like on Facebook - http://facebook.com/youdoodle 
Support email - support@youdoodle.net","[[], ['perspective'], ['cropping', 'social'], ['amazing', 'filters'], ['frames', 'picture'], ['art', 'studio'], ['playback', 'drawing'], ['photo'], ['stamp', 'clone'], ['chalk', 'spray'], ['recolor', 'tolerance'], ['smudge', 'blur'], ['pen', 'eraser'], ['flood'], ['fun', 'interesting'], ['brush', 'fill'], ['filter', 'foreground', 'background'], ['foreground', 'blend'], ['documents', 'stickers'], ['restore', 'settings'], ['shine'], ['add', 'iMessage'], ['text'], ['supported', 'apps'], ['supported', 'devices'], ['tons', 'colors'], ['stamps'], ['import', 'slideshows']]","[['Simple', 'spreadsheet', 'downloaded', 'music', 'device', 'table'], ['images', 'iOS'], ['square', 'networks'], ['30', 'effects'], ['collages', 'Hundreds'], ['featured', 'features'], ['Record', 'video'], ['entire', 'Post', 'editor', 'extension'], ['scissors', 'smudge'], ['preview', 'recolor'], ['chalk', 'blur'], ['clone', 'tolerance'], ['color', 'calligraphy'], ['picker', 'color', 'super', 'fill'], ['ways', 'background'], ['tool', 'modes', 'Many', 'blend', 'modes'], [], ['tool', 'background'], ['colors', 'settings'], ['documents', 'Backup'], ['scaling', 'rotation', '3D', 'circular', 'Pixel', 'perfect', 'rotation'], ['Doodle', 'stickers'], ['draw', 'add', 'placement', 'rotation'], ['sketchbook', 'zip', 'sketchbook', 'save', 'drawings'], ['touch', 'view', 'colors', 'etc', 'devices'], ['photos', 'fonts', 'colors', 'fonts', 'outlines'], ['Tons', 'support', 'offline', 'cool'], ['photos', 'Create', 'photos', 'use', 'camera']]"
A Burger Joint,"Place you order now with A Burger Joint iPhone app.

A Burger Joint in Steppingley serves the best of Chicken Wings, Steaks, and Burgers.",[],[]
Ultimate Food Value Diary,"Join other people in losing weight the affordable way!

The only app to support the latest Carryover Plan!

Track your food values, exercise, weight & measurements all in one place.  This is the ultimate app for you!

■ Included in the price of the app is full access to our standard plans that calculate values using the standard macro nutrients of protein, carbs, fat & fibre. ■
Main features are : 
- No membership or ads - pay once use the core app forever!
- Food, Alcohol, Exercise & Daily goal calculators for our standard plan.
- Large Online Food Database > over 3 million items with sorting - Full of day-to-day foods, snacks and alcohol items.
- Online Dining Out Guide - 460+ searchable and sortable.
- Barcode scanner with > 3 million barcodes 

Below we list all the features you get when you buy the standard app but first we want to tell you about out our optional Premium subscription that takes your journey to the next level.

■ If you take out our optional subscription you also get access to our Premium Plans which calculate based on  Calories/Kilojoules, Sugar, Sat.Fat & Protein and other features listed below ■

-  Latest Carryover Premium Plan -this latest plan uses the same calculations as our existing Premium plan but with over 210 free foods, a reduced daily goal and the ability to carry over any of your remaining daily goal into your weekly!

- Standard Premium Plan - a comprehensive version of this plan which calculates based on Calories, Sugar, Sat. Fat & Protein with a large food value database, exercise & daily goal calculator - everything you need to succeed!

- Pedometer support - Record your steps on your fitness band or smart watch and have the app automatically convert them to exercise earned within the app for all plans - syncs with Fitbit, Jawbone & Apple Health.
- Cloud data backup & restore with automatic backups and ability to copy data between Apple devices.
- Premium support just an email away.

Other AMAZING free features included in the one-time purchase price and available on all plans are : 
- Ability to create reminders.
- Passcode locking.
- Meal Maker allowing you to group items from any source together as a meal with automatic portion calculation.
- Exercise database.
- Full export of diary to spreadsheet and text files.
- Track healthy choices plus record daily notes.
- Weight loss & measurement progress tracking with advanced graphs, target & milestones.
- Clear diary functionality.
- Easy reuse of foods with Frequently & Recently used lists.
- Unlimited food & exercise favorites.
- Integrated Help.
- Remaining goal badge and weigh day reminders.

-------

Disclaimer:

Please consult your health care provider before undertaking any diet.

If you experience any issues please contact us by the built-in contact support option, we cannot help via marketplace comments.

Please note, we are not endorsed or affiliated with any weight loss system.","[['health', 'care'], ['plans'], ['core', 'use'], ['support'], ['access'], ['app'], ['plan'], ['using', 'standard'], ['weigh', 'day'], ['goal'], ['reduced', 'daily'], ['snacks'], ['items', 'group'], ['tracking', 'advanced'], ['value', 'database'], ['affiliated', 'endorsed'], ['loss'], ['exercise', 'weight'], [], [], ['included', 'one-time'], ['restore', 'automatic'], ['journey'], ['band']]","[['provider', 'consult', 'provider', 'undertaking', 'diet'], ['available', 'price', 'values', 'calculate'], ['pay', 'app', 'ads', 'pay', 'use'], ['app', 'The', 'Carryover', 'latest', 'support', 'option', 'help'], ['also', 'app', 'full', 'get', 'access', 'standard', 'plans'], ['This', 'buy', 'ultimate', 'standard'], ['calculators', 'uses', 'calculations', 'standard'], ['macro', 'values', 'standard', 'macro', 'nutrients'], ['badge', 'reminders'], ['badge', 'Remaining', 'daily', 'remaining'], ['foods', 'goal', 'exercise', 'daily', 'goal'], ['items', 'foods', 'alcohol', 'day-to-day'], ['source', 'allowing'], ['graphs', 'progress', 'graphs', 'target', 'milestones'], ['food', 'exercise', 'Unlimited', 'food', 'exercise'], ['note', 'weight'], ['progress', 'system', 'weight', 'measurement'], ['measurements', 'values', 'weight', 'affordable', 'way'], ['used', 'Recently', 'healthy', 'lists', 'choices', 'Track'], ['ability', 'spreadsheet', 'export', 'diary', 'copy', 'data'], ['purchase', 'features'], ['backups', 'backup', 'together', 'meal', 'automatic'], ['next', 'subscription', 'takes', 'level'], ['watch', 'steps', 'smart', 'fitness']]"
Alla Dolce Vita,"Os nossos clientes já sabem que no La Dolce Vita podem encontrar o mais agradável espaço para uma refeição saborosa e única. 
 
Neste momento preparamos uma edição especial para que possa acompanhar todo o Mundial 2018 no nosso restaurante.","[['espa', 'vel'], ['que', 'possa'], ['refei']]","[['agrad', 'para', 'mais', 'agrad', 'vel'], ['acompanhar', 'para'], ['saborosa', 'uma', 'e', 'para']]"
HealthyOut - Healthy Restaurant Nutrition Guide,"Find healthy restaurant meals near you!

*** NOTE: HealthyOut is currently only available in the U.S. ***

- As seen on Good Morning America on Jan. 1 ""5 Ways to Change Your Life Big Time in 2014""
- Recognized by Mayor Bloomberg's office

◀ HEALTHYOUT HELPS YOU ▶

- Find healthy meals from local restaurants in your area
- HealthyOut dishes have 1/2 the calories, 1/2 the fat compared to the average restaurant meal
- Use filters like Low Calorie, Low Carb, Low Fat, High Protein and Heart Healthy to narrow down your search results
- Dietary restrictions like Vegetarian, Vegan, Lactose and Gluten Sensitive
- Popular diets like Paleo, Atkins, South Beach, Zone and more
- Our unique Calorie and Points filters to find a meal in your target range
- Filter by Cuisine, Ingredients and even the Type of Dish
- Tired of salads? You can find dishes by our most popular filter - ""Not a Salad"" 
- See detailed nutrition information for dishes including calories and points 
- Eat out confident that you made a healthy choice!","[['nutrition'], ['including', 'calories'], ['average', 'compared'], ['healthy'], ['find', 'meal']]","[['detailed', 'information', 'See', 'dishes'], ['points', 'dishes', 'dishes', 'popular', 'filter'], ['fat', 'restaurant'], ['choice', 'made', 'meals', 'restaurant', 'meals', 'local', 'restaurants'], ['target', 'filters', 'narrow', 'search', 'results']]"
Pregnancy and Due Date Tracker,"This free tracker will help you remain calm throughout your pregnancy. This guide will always keep you informed about the processes taking place in your body, the development of your baby and the things that matter the most to you now. Every time you feel puzzled and don’t know how to act in an unfamiliar situation, start this app to find answers to your questions.

Full list of features:
- Description of your baby’s current development.
- Things you should pay attention to this week.
- Pregnancy diet. Food you can and cannot currently eat and drugs you can take.
- Tips for each week of your pregnancy, from conception to delivery, including exercises and workouts, books to read and other things for a healthy pregnancy.
- Drawing your attention to the important dates of your pregnancy calendar.
- Checklists for each trimester, editable To-Do lists for each 3 months of trimester.
- Pre-birth To-Do list.
- List of things you will need at the hospital and immediately after your child is born.
- Baby due date calculator by date of conception.
- Pregnancy countdown calculator.
- Smart contraction timer that will let you know when you should head to the hospital.

We worked hard to make the best app for future moms. Don’t hesitate to submit your recommendations and suggest new features that we will try to implement as quickly as possible.","[[], [], [], ['hospital'], ['act'], ['suggest', 'new'], ['pay', 'attention'], ['taking', 'place'], ['body', 'development'], ['exercises'], ['date', 'calculator'], ['pregnancy', 'conception'], []]","[['moms', 'app', 'timer', 'future', 'let', 'contraction'], ['help', 'editable', 'remain', 'calm', 'trimester', 'Checklists'], ['drugs', 'currently', 'born', 'child', 'immediately', 'eat'], ['need', 'things', 'head', 'know', 'let', 'know', 'head'], [""n't"", 'situation', 'know', 'unfamiliar'], ['features', 'recommendations', 'features', 'try', 'implement'], ['week', 'Things', 'attention', 'important', 'dates'], ['body', 'processes', 'keep', 'informed', 'processes'], ['baby', 'place', 'development', 'baby', 'things'], ['delivery', 'workouts', 'books', 'including', 'books', 'read', 'things'], ['conception', 'Baby', 'due', 'date'], ['week', 'delivery', 'things', 'healthy', 'pregnancy'], ['make', 'hard', 'answers', 'questions', 'worked', 'find']]"
My Score Plus Calorie Counter,"""This app works great! I've lost 12 pounds in 10 days!"" - ◆◆◆◆◆

So you've got a few pounds to lose and you've tried everything but still have no significant results? Well look no further because it is a proven fact that people who write down what they eat can nearly triple their weight loss.

Carrying a pen and paper with you all day is not the most practical way to keep a food diary, but with My Score Plus you'll always be just one touch away from your food diary. It has all the benefits of a paper tracker and much more. Simply put, this app will help you lose weight and keep it off. There are no strings attached and plenty of amazing features included for FREE!


CHECK OUT WHAT SOME OF OUR USERS ARE SAYING:
——————————————————————————
◆◆◆◆◆ - ""So great for an on-the-go eating lifestyle""

◆◆◆◆◆ - ""It does everything you need to track and show progress!""

◆◆◆◆◆ - ""I really love this app!""

◆◆◆◆◆ - ""I typically never write reviews however this app rocks and I felt compelled to tell everyone about it!!""

◆◆◆◆◆ - ""I've lost 13 pounds in the first month of using this. Love it!""
——————————————————————————


PRICING AND PLANS:

BASIC PLAN - FREE
• Diary for Calorie Tracking - Track your food, exercise and more on a daily basis
• Weight Tracker
• Activity and Exercise Tracker
• Step Tracker - Sync with the Steps counter in Apple’s Health app.
• Custom Macronutrient Goals - Set custom goals for fat, carb and protein intake.
• Barcode Scanner - Over 300,000+ UPC's available with ability to submit new barcodes.
• Online Food Database - Over 110,000 restaurants and standard USDA foods.
• Daily and Weekly Summary - View charts that give you a breakdown of your food intake and track your macronutrient goals.
• Meal Breakdown
• Diary Notes

PREMIUM PLAN - $4.99 per month or $24.99 per year*
• Includes all BASIC PLAN features
• Ad-Free
• Activity Sync for Apple Watch, Fitbit and other devices
• Custom Nutrient Tracker - 17 Key Nutrients (fiber, sugar, sodium, net carbs, cholesterol, saturated fat, and more)
• Meal & Recipe Builder
• Reminders - Remind yourself to eat a snack, drink water, weigh-in and track your food.
• Water and Vitamin Tracker - Track your water intake and ensure key nutritional requirements are met.
• AirDrop meals to friends (coming soon…)
• PDF Summary - Print and share a weekly or daily summary for a nutritionist, fitness trainer or friend. (coming soon…)

*All prices in USD.

Subscriptions purchased through the app will be charged to your iTunes account. Your subscription can be cancelled or managed under your iTunes account settings. Your payment will continue to auto-renew unless you cancel your subscription at least 24 hours prior to your next renewal date.


My Score Plus integrates with Apple's Health app by:
• Accessing activity information including daily step counts and active energy.
• Adding your water intake into the Health app.
• Adding weight entries to the Health app.
• Pulling weight entries from the Health app.
• Using Health data to pre-populate relevant fields during account setup.


Other important features of My Score Plus:
• Suggested Entries - Recommends foods and exercises to favorite based on your history for quicker tracking.
• Automatic Daily Target - Your daily target is automatically adjusted for you as your weight changes.
• Custom Calorie Goals - Manually set your calorie goal to fit your lifestyle.
• Copying and Moving - Create new foods, exercises and meals by copying or moving from your existing entries.
• Units - Support for US, Metric and Stone units.
• Design - Extremely user-friendly and intuitive to use.
• Available on iPad, iPhone and iPod!


Like us on Facebook: facebook.com/ProTrackerApp
Follow us on Twitter: @ProTrackerApp (twitter.com/ProTrackerApp)


If you like this app, please leave us a review. If you feel a feature is missing or can be improved please send an email to support@protrackerapp.com, and give us the opportunity to work on an update before writing a review.","[['email', 'send'], ['improved', 'missing'], ['step', 'daily'], ['exercises', 'foods'], ['based', 'history'], ['Pulling', 'weight'], ['app'], ['adjusted', 'weight'], ['food'], ['water'], ['track', 'macronutrient'], ['net', 'carbs'], ['carb', 'fat'], [], [], [], [], [], ['new', 'submit'], ['proven', 'fact'], ['iPad']]","[['support', 'please'], ['please', 'feature'], ['counts', 'including', 'information', 'including', 'daily'], ['favorite', 'meals'], ['quicker', 'favorite', 'quicker', 'tracking', 'Automatic'], ['app', 'entries'], ['great', 'works', 'love', 'really', 'however', 'app', 'rocks'], ['changes', 'automatically', 'help', 'lose', 'weight'], ['track', 'intake', 'way', 'keep', 'breakdown', 'food', 'intake'], ['weigh-in', 'track', 'snack', 'drink'], ['intake', 'goals', 'track', 'show', 'progress'], ['sodium', 'cholesterol'], ['protein', 'goals', 'cholesterol', 'saturated', 'fat'], ['set', 'benefits', 'goal', 'paper', 'tracker', 'calorie'], ['trainer', ""'ve"", 'So', 'fitness', 'nutritionist', 'got'], ['relevant', 'pounds', 'fields', 'month', 'pre-populate', 'first'], ['reviews', 'never', 'work', 'update', 'writing', 'write'], ['continue', 'setup', 'Other', 'auto-renew', 'payment', 'important'], ['ability', 'barcodes', 'day', 'practical', 'way'], ['look', 'people'], ['Available', 'iPod', 'use', 'iPhone']]"
Tip Calculator % Pro,"Tip Calculator % features fast bill entry and splitting, ideal for those dining out or having drinks with friends.

• Splits bill with ease!
• Save $$$ by tipping an exact amount
• Rounding feature!
• Fast loading!  No Ads!

What our users are saying...

 ""Simple. To the point. Beautiful.""

 ""Especially love the split function""

 ""Perfect and easy""

 ""Easy to read""","[['ideal'], []]","[['dining', 'drinks', 'splitting', 'entry', 'features', 'fast', 'bill'], ['function', 'love', 'tipping', 'amount', 'split', 'exact']]"
Beachbody Nutrition+,"The Beachbody Nutrition+ App allows you to quickly and easily track your meals and your progress, whether you’re using the Beachbody portion-control container system or the 2B Mindset™ tracking program. No matter which Beachbody nutrition or fitness program you’re using, you can track your weight, water intake, Shakeology, food, or containers absolutely free. 

Connect to HealthKit to sync Apple’s Health app height and weight with Beachbody Nutrition+.  
¬
WITH THE 2B MINDSET PROGRAM, you can:
•	Learn to lose weight without feeling hungry or deprived, to help you keep it off for good
•	Track your food, water, Shakeology and weight 
•	Access all of the 2B Mindset expert program videos

WITH THE BEACHBODY PORTION-CONTROL CONTAINER TRACKING SYSTEM, you can:
•	Track your food using the proven portion-based system you’ll find in dozens of Beachbody fitness and nutrition programs like 21 Day Fix and Portion Fix
•	Track your water, Shakeology and weight 
•	Link directly to Beachbody On Demand 

FREE TO DOWNLOAD

The Beachbody Nutrition+ App is free to download. We have free content available, including:
●	The Shakeology® Channel – Discover how to build a foundation for a healthier life with easy-to-make recipes and insights from nutrition experts

Learn more at BeachbodyOnDemand.com or follow us @beachbody or like us on facebook.com/beachbody.

Beachbody's Terms and Conditions can be found at: BeachbodyOnDemand.com/terms-of-use.   
Beachbody's Privacy Policy can be found at: BeachbodyOnDemand.com/privacy-policy.","[['nutrition', 'fitness'], ['recipes', 'insights'], [], ['help'], ['track', 'weight']]","[['program', 'programs', 'expert', 'program', 'videos'], ['nutrition', 'easy-to-make', 'life', 'easy-to-make', 'recipes'], ['system', 'proven', 'portion-based', 'facebook', 'beachbody', 'com'], ['deprived', 'good', 'hungry', 'keep'], ['water', 'using', 'app', 'height', 'weight']]"
Food Plus,"Food Plus facilitates online food ordering. You can place your order of your favourite food with Food Plus app, a User-friendly solution for food lovers.Being the user of the app, you can easily place your order as per your taste and you can even change or modify your list accordingly. This can ease your process of food ordering.

You can login the application through your social media networking account like Facebook, Google+, etc. with your existing account details. Moreover, the app can help you to find your nearest restaurants and their offers, pricing and menus with less effort.

Adding and editing items in your order list can be done simply by having few clicks in the app. Tracking of your delivery items will be done with the live updates of the restaurants till it is delivered at your doorstep.

A clear view has been made to you of your orders with detailed information. In addition, you can comment, and post reviews about the food and the service of the restaurants. If the delivery is lagged with any delays, then you will be notified in priority.

Key points of FOOD PLUS:

Social Login – Login to this site becomes truly simple as you can easily access the app via social media networking account like Facebook, Twitter, etc. with your existing account details.

Explore restaurants – Find your nearest restaurants with FOOD PLUS. You can easily browse for the nearest restaurants and their available menus, pricing, and offers with least efforts. Search and choose your favourite restaurants by just a few taps.

Build orders- Adding items to the order list has become very simple just by few clicks. You will be directed to few pages for the items addition and modification. Within a second, you will get a newly edited order list accordingly.

Orders management- Orders management is the best solution for wrongly placed orders. You will be allowed to edit and re-order dishes at ease with no effort. Order management can only access by you so that you will get what you have ordered.

Track Delivery- with the feature of track delivery help you to track you delivery processes with the live updates of the order provided by the restaurants till it is delivered at your doorstep. This will give you a clear picture about your placed order.

Alert and Notifications- If your delivery lagged with any delays or any mismatch in the order list, you will be automatically sent by instant order related notifications.
This can help you not to wait for your delayed delivery.

Reviews and Ratings- You can show your satisfactory level by leaving your valuable comments and feedbacks and add rating for the food and service provided by the restaurants. This can help restaurants to improve their standard.","[['view'], ['placed'], ['account'], ['valuable', 'leaving'], ['mismatch', 'order'], ['delays'], ['edited', 'order'], ['simple', 'become'], ['track', 'delivery', 'help'], ['live', 'updates'], ['items', 'pages'], ['offers'], ['app'], ['solution'], ['ease'], ['reviews', 'post'], ['favourite', 'order'], ['nearest', 'restaurants'], ['rating', 'add'], ['provided', 'restaurants'], ['food', 'service'], [], ['order']]","[['A', 'clear', 'made', 'orders'], ['orders', 'picture', 'wrongly', 'order'], ['media', 'networking', 'details', 'existing'], ['comments', 'level', 'valuable', 'comments', 'feedbacks'], ['delays', 'list'], ['priority', 'delivery', 'lagged', 'notified'], ['newly', 'list'], ['list', 'clicks', 'change', 'modify', 'list'], ['feature', 'track', 'delivery'], ['done', 'restaurants', 'processes', 'live', 'updates'], ['directed', 'addition', 'items', 'addition', 'modification'], ['menus', 'efforts', 'pricing', 'least', 'restaurants', 'available', 'menus'], ['Moreover', 'User-friendly', 'help', 'solution'], ['food', 'management', 'lovers', 'best'], ['food', 'process', 'effort', 'dishes'], ['comment', 'food', 'addition', 'comment', 'post'], ['food', 'place', 'choose', 'favourite', 'restaurants'], ['browse', 'find', 'help', 'find', 'nearest'], ['food', 'feedbacks'], ['order', 'service'], ['reviews', 'restaurants', 'rating', 'food', 'service'], ['detailed', 'information', 'instant', 'orders', 'order', 'sent'], ['easily', 'place', 'related', 'notifications']]"
Egg Timer Plus,"Choose the egg size from a selection of eggs based on your region or weigh your personal egg with a kitchen scales. Select the start temperature and the end temperature - Egg Timer Plus will calculate the perfect cooking time to cook your egg.

- Personal egg sizes
- Without measure - perfect eggs
- Detailed info section 
- Background notification
- Available for Apple Watch
- Clean and flat design - easy to use

Bon Appetite!","[['end', 'temperature'], ['cook', 'time'], ['perfect', 'cooking'], ['selection', 'size'], []]","[['start'], ['cooking', 'egg'], ['calculate', 'time'], ['eggs', 'egg', 'eggs', 'based', 'region'], ['Detailed', 'info', 'use', 'section', 'design', 'easy']]"
Даяна Plus,"Мобильное приложение Даяна  plus! — это новый удобный способ легко и быстро заказать еду в нашем кафе с доставкой на дом или в офис! Горячая пицца, вкусные суши и роллы, паста и удон, сочные бургеры и многое другое! В приложении доступны:

- Быстрый и удобный заказ еды;
- Актуальное меню, вкусные описания и аппетитные фото;
- Интересные акции и свежие новости;
- Бонусная программа;
- Обратная связь;
- Наши контакты",[],[]
